timestamp_lsl,timestamp_iso,TP9,AF7,AF8,TP10
1781532873.826119,2026-06-15T21:14:34.747,-13.671875,-400.390625,-200.68359375,-49.31640625
1781532873.830114,2026-06-15T21:14:34.747,10.7421875,-189.94140625,-113.76953125,56.640625
1781532873.834014,2026-06-15T21:14:34.747,-4.39453125,-347.16796875,-168.9453125,13.671875
1781532873.837914,2026-06-15T21:14:34.747,-46.38671875,-381.34765625,-218.75,-124.51171875
1781532873.841813,2026-06-15T21:14:34.747,-83.0078125,-354.00390625,-233.88671875,-198.73046875
1781532873.845713,2026-06-15T21:14:34.747,-98.6328125,-439.453125,-267.578125,-146.97265625
1781532873.849613,2026-06-15T21:14:34.747,-75.68359375,-597.16796875,-263.671875,-21.97265625
1781532873.853512,2026-06-15T21:14:34.747,-86.42578125,-626.953125,-253.41796875,-29.296875
1781532873.857412,2026-06-15T21:14:34.747,-130.37109375,-515.13671875,-237.3046875,-175.29296875
1781532873.861312,2026-06-15T21:14:34.747,-148.4375,-544.921875,-285.15625,-253.90625
1781532873.865211,2026-06-15T21:14:34.747,-150.390625,-868.1640625,-415.52734375,-197.75390625
1781532873.869111,2026-06-15T21:14:34.747,-135.7421875,-579.1015625,-184.08203125,-81.54296875
1781532873.873011,2026-06-15T21:14:34.747,-113.76953125,-33.69140625,19.04296875,-51.26953125
1781532873.876998,2026-06-15T21:14:34.747,-131.34765625,-311.03515625,-203.61328125,-171.875
1781532873.880898,2026-06-15T21:14:34.747,-193.359375,-634.765625,-373.53515625,-281.73828125
1781532873.884798,2026-06-15T21:14:34.747,-220.21484375,-481.93359375,-271.484375,-263.18359375
1781532873.888697,2026-06-15T21:14:34.747,-180.6640625,-182.12890625,-77.63671875,-141.6015625
1781532873.892597,2026-06-15T21:14:34.747,-136.23046875,-298.33984375,-154.78515625,-74.70703125
1781532873.896497,2026-06-15T21:14:34.747,-134.765625,-737.79296875,-375.48828125,-157.2265625
1781532873.900396,2026-06-15T21:14:34.747,-153.3203125,-720.703125,-307.12890625,-253.90625
1781532873.904296,2026-06-15T21:14:34.747,-147.4609375,-360.3515625,-191.89453125,-241.2109375
1781532873.908196,2026-06-15T21:14:34.747,-113.76953125,-597.16796875,-327.63671875,-93.26171875
1781532873.912095,2026-06-15T21:14:34.747,-83.984375,-781.73828125,-317.87109375,-9.27734375
1781532873.915995,2026-06-15T21:14:34.747,-79.1015625,-231.4453125,-46.38671875,-79.58984375
1781532873.919895,2026-06-15T21:14:34.747,-99.609375,-275.390625,-220.21484375,-153.80859375
1781532873.923876,2026-06-15T21:14:34.747,-103.515625,-766.6015625,-375.48828125,-155.76171875
1781532873.927776,2026-06-15T21:14:34.747,-68.359375,-606.4453125,-194.82421875,-45.41015625
1781532873.931675,2026-06-15T21:14:34.747,-32.71484375,-86.42578125,7.32421875,37.109375
1781532873.935575,2026-06-15T21:14:34.747,-19.04296875,-187.5,-87.40234375,-19.53125
1781532873.939475,2026-06-15T21:14:34.747,-24.4140625,-588.8671875,-319.82421875,-104.98046875
1781532873.943375,2026-06-15T21:14:34.747,-24.90234375,-817.87109375,-369.62890625,-108.88671875
1781532873.947274,2026-06-15T21:14:34.747,14.6484375,-704.58984375,-264.16015625,17.08984375
1781532873.951174,2026-06-15T21:14:34.747,43.45703125,-539.55078125,-231.93359375,121.09375
1781532873.955074,2026-06-15T21:14:34.747,35.15625,-752.44140625,-330.078125,74.21875
1781532873.958973,2026-06-15T21:14:34.747,7.32421875,-689.94140625,-290.52734375,-38.0859375
1781532873.962873,2026-06-15T21:14:34.747,1.46484375,-349.609375,-211.42578125,-68.84765625
1781532873.966773,2026-06-15T21:14:34.747,42.48046875,-437.5,-258.7890625,58.10546875
1781532873.970749,2026-06-15T21:14:34.747,91.30859375,-429.19921875,-182.12890625,176.7578125
1781532873.974649,2026-06-15T21:14:34.747,103.02734375,-168.9453125,1.953125,133.7890625
1781532873.978549,2026-06-15T21:14:34.747,98.14453125,-200.1953125,-97.16796875,42.48046875
1781532873.982448,2026-06-15T21:14:34.747,84.9609375,-655.76171875,-369.140625,3.41796875
1781532873.986348,2026-06-15T21:14:34.748,86.42578125,-758.30078125,-364.74609375,76.171875
1781532873.990248,2026-06-15T21:14:34.748,104.00390625,-530.76171875,-242.67578125,180.17578125
1781532873.994147,2026-06-15T21:14:34.748,105.95703125,-376.46484375,-162.59765625,149.90234375
1781532873.998047,2026-06-15T21:14:34.748,89.35546875,-573.2421875,-356.93359375,41.50390625
1781532874.001947,2026-06-15T21:14:34.748,59.5703125,-911.1328125,-522.94921875,-16.11328125
1781532874.005846,2026-06-15T21:14:34.748,60.546875,-392.578125,-170.8984375,39.55078125
1781532874.009746,2026-06-15T21:14:34.748,89.84375,-97.16796875,-55.17578125,157.2265625
1781532874.013646,2026-06-15T21:14:34.748,93.26171875,-361.81640625,-177.734375,151.85546875
1781532874.017615,2026-06-15T21:14:34.748,79.58984375,-423.828125,-229.98046875,41.015625
1781532874.021515,2026-06-15T21:14:34.748,58.10546875,-338.8671875,-226.07421875,-27.34375
1781532874.025414,2026-06-15T21:14:34.748,47.36328125,-388.18359375,-264.16015625,19.04296875
1781532874.029314,2026-06-15T21:14:34.748,71.2890625,-399.4140625,-218.26171875,150.390625
1781532874.033214,2026-06-15T21:14:34.748,72.75390625,-253.41796875,-88.37890625,156.25
1781532874.037113,2026-06-15T21:14:34.748,42.96875,-507.8125,-245.1171875,32.2265625
1781532874.041013,2026-06-15T21:14:34.748,31.25,-806.15234375,-361.81640625,-45.41015625
1781532874.044913,2026-06-15T21:14:34.748,35.15625,-897.4609375,-376.953125,-18.06640625
1781532874.048812,2026-06-15T21:14:34.748,44.43359375,-659.1796875,-213.37890625,88.8671875
1781532874.052712,2026-06-15T21:14:34.748,53.7109375,-116.2109375,13.18359375,115.72265625
1781532874.056612,2026-06-15T21:14:34.748,37.59765625,-319.3359375,-178.7109375,11.71875
1781532874.060511,2026-06-15T21:14:34.748,18.06640625,-798.828125,-382.32421875,-66.89453125
1781532874.064475,2026-06-15T21:14:34.748,14.6484375,-596.6796875,-271.484375,-47.8515625
1781532874.068374,2026-06-15T21:14:34.748,29.78515625,-168.45703125,-71.2890625,62.5
1781532874.072274,2026-06-15T21:14:34.748,47.8515625,-322.265625,-170.41015625,111.81640625
1781532874.076174,2026-06-15T21:14:34.748,20.5078125,-733.88671875,-395.01953125,6.34765625
1781532874.080074,2026-06-15T21:14:34.748,-10.25390625,-510.7421875,-268.06640625,-83.984375
1781532874.083973,2026-06-15T21:14:34.748,-1.953125,-511.71875,-264.6484375,-74.21875
1781532874.087873,2026-06-15T21:14:34.748,24.90234375,-805.6640625,-384.27734375,42.48046875
1781532874.091773,2026-06-15T21:14:34.748,22.4609375,-907.71484375,-401.85546875,118.1640625
1781532874.095672,2026-06-15T21:14:34.748,-0.48828125,-410.64453125,-125.9765625,18.5546875
1781532874.099572,2026-06-15T21:14:34.748,-14.6484375,-339.84375,-226.5625,-82.03125
1781532874.103472,2026-06-15T21:14:34.748,-23.92578125,-788.0859375,-368.1640625,-93.26171875
1781532874.107372,2026-06-15T21:14:34.748,3.90625,-513.18359375,-155.2734375,14.16015625
1781532874.111330,2026-06-15T21:14:34.748,22.4609375,-21.97265625,25.87890625,98.6328125
1781532874.115229,2026-06-15T21:14:34.748,13.18359375,-166.50390625,-125.0,24.90234375
1781532874.119129,2026-06-15T21:14:34.748,-9.765625,-584.47265625,-312.01171875,-79.58984375
1781532874.123029,2026-06-15T21:14:34.748,-26.3671875,-519.53125,-238.28125,-113.28125
1781532874.126928,2026-06-15T21:14:34.748,-5.37109375,-282.2265625,-177.24609375,-10.25390625
1781532874.130828,2026-06-15T21:14:34.748,5.37109375,-321.77734375,-176.7578125,82.51953125
1781532874.134728,2026-06-15T21:14:34.748,-2.44140625,-745.60546875,-406.25,42.96875
1781532874.138628,2026-06-15T21:14:34.748,-29.296875,-860.3515625,-420.41015625,-64.453125
1781532874.142527,2026-06-15T21:14:34.748,-45.41015625,-383.30078125,-205.078125,-127.44140625
1781532874.146427,2026-06-15T21:14:34.748,-28.80859375,-392.08984375,-268.06640625,-31.73828125
1781532874.150327,2026-06-15T21:14:34.748,-2.44140625,-453.61328125,-175.29296875,78.125
1781532874.154226,2026-06-15T21:14:34.748,9.765625,-221.6796875,-62.01171875,45.8984375
1781532874.158177,2026-06-15T21:14:34.748,-11.71875,-397.94921875,-250.9765625,-62.01171875
1781532874.162077,2026-06-15T21:14:34.748,-30.76171875,-811.5234375,-392.578125,-119.140625
1781532874.165977,2026-06-15T21:14:34.748,-8.30078125,-710.44921875,-309.08203125,-41.015625
1781532874.169877,2026-06-15T21:14:34.748,15.625,-218.26171875,-55.17578125,52.734375
1781532874.173776,2026-06-15T21:14:34.748,6.34765625,-93.26171875,-15.13671875,26.3671875
1781532874.177676,2026-06-15T21:14:34.748,-12.20703125,-624.0234375,-374.0234375,-66.40625
1781532874.181576,2026-06-15T21:14:34.748,-30.2734375,-932.6171875,-488.76953125,-127.44140625
1781532874.185475,2026-06-15T21:14:34.748,-42.96875,-481.4453125,-208.49609375,-71.77734375
1781532874.189375,2026-06-15T21:14:34.748,-29.296875,-55.17578125,-20.99609375,41.50390625
1781532874.193275,2026-06-15T21:14:34.748,-5.859375,-482.421875,-218.26171875,57.12890625
1781532874.197175,2026-06-15T21:14:34.748,-22.94921875,-761.71875,-369.140625,-51.26953125
1781532874.201074,2026-06-15T21:14:34.748,-47.8515625,-362.79296875,-214.35546875,-142.578125
1781532874.205068,2026-06-15T21:14:34.748,-43.9453125,-341.30859375,-247.55859375,-96.19140625
1781532874.208967,2026-06-15T21:14:34.748,-18.5546875,-412.59765625,-218.26171875,20.5078125
1781532874.212867,2026-06-15T21:14:34.748,-10.25390625,-262.20703125,-79.1015625,40.52734375
1781532874.216767,2026-06-15T21:14:34.748,-20.5078125,-318.359375,-199.21875,-43.9453125
1781532874.220667,2026-06-15T21:14:34.748,-50.29296875,-700.1953125,-385.25390625,-121.09375
1781532874.224566,2026-06-15T21:14:34.748,-79.1015625,-874.51171875,-373.046875,-113.28125
1781532874.228466,2026-06-15T21:14:34.748,-60.05859375,-716.796875,-277.34375,-6.34765625
1781532874.232366,2026-06-15T21:14:34.748,-33.69140625,-481.4453125,-196.2890625,52.24609375
1781532874.236265,2026-06-15T21:14:34.748,-43.45703125,-429.19921875,-242.1875,-42.96875
1781532874.240165,2026-06-15T21:14:34.748,-61.5234375,-645.99609375,-312.98828125,-141.6015625
1781532874.244065,2026-06-15T21:14:34.748,-50.78125,-579.1015625,-262.6953125,-116.2109375
1781532874.247965,2026-06-15T21:14:34.748,-32.71484375,-180.17578125,-105.46875,-4.8828125
1781532874.251952,2026-06-15T21:14:34.748,-22.94921875,-288.57421875,-149.90234375,51.7578125
1781532874.255852,2026-06-15T21:14:34.748,-13.671875,-522.4609375,-308.10546875,-10.7421875
1781532874.259752,2026-06-15T21:14:34.748,-29.78515625,-399.90234375,-235.3515625,-102.05078125
1781532874.263651,2026-06-15T21:14:34.748,-41.9921875,-331.54296875,-217.28515625,-126.46484375
1781532874.267551,2026-06-15T21:14:34.748,-17.578125,-469.7265625,-284.66796875,-18.06640625
1781532874.271451,2026-06-15T21:14:34.748,-9.27734375,-675.29296875,-322.265625,58.59375
1781532874.275351,2026-06-15T21:14:34.748,-23.92578125,-666.9921875,-293.45703125,-33.203125
1781532874.279250,2026-06-15T21:14:34.748,-43.9453125,-549.8046875,-262.20703125,-144.04296875
1781532874.283150,2026-06-15T21:14:34.748,-55.17578125,-753.41796875,-404.296875,-144.04296875
1781532874.287050,2026-06-15T21:14:34.748,-43.9453125,-803.22265625,-401.3671875,-30.2734375
1781532874.290950,2026-06-15T21:14:34.748,-23.92578125,-237.79296875,-33.203125,41.50390625
1781532874.294849,2026-06-15T21:14:34.748,-25.87890625,-143.06640625,-61.5234375,-15.13671875
1781532874.298830,2026-06-15T21:14:34.748,-46.38671875,-491.2109375,-249.0234375,-110.83984375
1781532874.302730,2026-06-15T21:14:34.748,-57.12890625,-528.80859375,-268.06640625,-145.01953125
1781532874.306630,2026-06-15T21:14:34.748,-38.0859375,-217.28515625,-135.7421875,-43.9453125
1781532874.310529,2026-06-15T21:14:34.748,-18.5546875,-203.61328125,-79.58984375,55.17578125
